chamber_number,official_german,english,domain
1,I. öffentlich-rechtliche Abteilung,First Public Law Division,public law
2,II. öffentlich-rechtliche Abteilung,Second Public Law Division,public law
4,I. zivilrechtliche Abteilung,First Civil Law Division,civil law
5,II. zivilrechtliche Abteilung,Second Civil Law Division,civil law
6,Strafrechtliche Abteilung (ab 2023: I. strafrechtliche Abteilung),Criminal Law Division (from 2023: First Criminal Law Division),criminal law
7,II. strafrechtliche Abteilung (ab 2023),Second Criminal Law Division (from 2023),criminal law
8,I. sozialrechtliche Abteilung,First Social Law Division,social insurance
9,II. sozialrechtliche Abteilung,Second Social Law Division,social insurance
10,Interne Verwaltungskammer (historisch),Internal Administrative Chamber (historical),internal
11,Interne Verwaltungskammer (historisch),Internal Administrative Chamber (historical),internal
12,Interne Verwaltungskammer (historisch),Internal Administrative Chamber (historical),internal
13,Interne Verwaltungskammer (historisch),Internal Administrative Chamber (historical),internal
EVG,Eidgenössisches Versicherungsgericht (Vorläufer der sozialrechtlichen Abteilungen bis 2006),"Federal Insurance Court (Historical, prior to 2006)",social insurance
