abbreviation,official_german,english
OR,Obligationenrecht,Code of Obligations
ZGB,Schweizerisches Zivilgesetzbuch,Swiss Civil Code
StPO,Schweizerische Strafprozessordnung,Swiss Criminal Procedure Code
StGB,Schweizerisches Strafgesetzbuch,Swiss Criminal Code
TSV,Tierseuchenverordnung,Animal Epidemics Ordinance
VTS,Verordnung über die technischen Anforderungen an Strassenfahrzeuge,Ordinance on Technical Requirements for Road Vehicles
SchKG,Bundesgesetz über Schuldbetreibung und Konkurs,Federal Act on Debt Enforcement and Bankruptcy
ZPO,Schweizerische Zivilprozessordnung,Swiss Civil Procedure Code
MStG,Militärstrafgesetz,Military Criminal Code
VR-ETH,Verordnung über das Rechnungswesen des ETH-Bereichs,Ordinance on the Accounting of the ETH Domain
ZV,Zollverordnung,Customs Ordinance
AVO,Verordnung über die Arbeitsvermittlung (historisch) / Asylverordnung,Employment Placement Ordinance (Historical) / Asylum Ordinance context
TSchV,Tierschutzverordnung,Animal Welfare Ordinance
BSV,Binnenschifffahrtsverordnung (oder Bundesamt für Sozialversicherungen),Inland Navigation Ordinance (or Federal Social Insurance Office)
BV,Bundesverfassung,Federal Constitution
ArGV,Arbeitsgesetzverordnung,Labour Act Ordinance
AIG,Ausländer- und Integrationsgesetz,Foreign Nationals and Integration Act
AHVV,Verordnung über die Alters- und Hinterlassenenversicherung,Old-Age and Survivors Insurance Ordinance
DBG,Bundesgesetz über die direkte Bundessteuer,Federal Act on Direct Federal Taxation
KVV,Verordnung über die Krankenversicherung,Health Insurance Ordinance
MStP,Militärstrafprozess,Military Criminal Procedure
ParlG,Parlamentsgesetz,Parliament Act
StSV,Strahlenschutzverordnung,Radiological Protection Ordinance
BPV,Bundespersonalverordnung,Federal Personnel Ordinance
ERV,Eigenmittelverordnung,Capital Adequacy Ordinance
PatV,Patentverordnung,Patents Ordinance
AsylV,Asylverordnung,Asylum Ordinance
KKV,Kernenergieverordnung / Kollektivanlagenverordnung,Nuclear Energy Ordinance / Collective Investment Schemes Ordinance
SSV,Signalisationsverordnung,Signage Ordinance
VZV,Verkehrszulassungsverordnung,Ordinance on the Admission of Persons and Vehicles to Road Traffic
EnFV,Energieförderungsverordnung,Energy Funding Ordinance
LwG,Landwirtschaftsgesetz,Agriculture Act
AsylG,Asylgesetz,Asylum Act
KV-GE,Kantonsverfassung Genf,Constitution of the Canton of Geneva
AVIV,Verordnung über die Arbeitslosenversicherung,Unemployment Insurance Ordinance
SVG,Strassenverkehrsgesetz,Road Traffic Act
IPRG,Bundesgesetz über das Internationale Privatrecht,Private International Law Act
EBG,Bundesgesetz über die Gleichstellung von Frau und Mann (oder Eisenbahngesetz),Gender Equality Act (or Railways Act)
MG,Militärgesetz,Armed Forces Act
DZV,Direktzahlungsverordnung,Direct Payments Ordinance
BVG,"Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge",Occupational Pensions Act
GBV,Grundbuchverordnung,Land Register Ordinance
